subject_id,photo_id,ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist,gender,height_cm,weight_kg
-5OHO2b5mRDY1rvAf07sYYtekEEX7ViEGmvRr7l4tfc,69748a13010a169df0f7cb986ac1129e,22.00178337097168,46.76323318481445,28.288970947265625,35.64996337890625,99.2533950805664,24.81337547302246,164.37962341308594,92.1286849975586,75.12725830078125,33.848777770996094,60.541385650634766,52.41831970214844,87.30789947509766,15.19203758239746,female,163.0,65.0
-67TrwlJ3GSsqPeHaa2Nb0iQ-BKZfIx4ERysQPZ0-SY,ecb8c4b1031624047de1493c7e8b3905,20.78885269165039,42.22955703735352,24.52714157104492,29.18135643005371,93.62777709960938,21.97903823852539,146.51663208007812,87.13410186767578,67.26985931396484,31.65919685363769,52.6972770690918,41.84494400024414,74.4008560180664,15.120060920715332,female,144.6,44.2
-EujjqWPZ_L0NO_RqgxJ79mA23Tjj33cYAoFaysL4I0,9554c0272e9838ecd21efa04fcb53973,22.742536544799805,45.37940216064453,32.74854278564453,37.94465255737305,122.96255493164062,26.89884376525879,155.54574584960938,114.80290985107422,68.06900787353516,35.909629821777344,59.71751022338867,57.096954345703125,112.93948364257812,16.802091598510742,female,154.1,83.7
-QVnfQ26qAbPK2NBge_b9gErXDn4CdOYWdc4fILEjjQ,dff3637a8300a43b463a162f2171bf0e,22.11094665527344,42.74123764038086,27.424707412719727,35.65148162841797,89.4739761352539,23.59394836425781,158.33795166015625,94.87220001220705,70.54869842529297,31.470802307128903,58.75323486328125,51.796165466308594,77.15232849121094,15.86899185180664,female,158.3,58.1
-cVyBck9teEIqY0XFjfj5XuSX-RPHG8mWNFEaP5wDWE,4122d01d913e03ae394f8cd3666c7df8,22.312450408935547,43.671913146972656,31.953712463378903,37.76602554321289,106.53643035888672,27.21356201171875,156.61866760253906,103.14043426513672,69.95234680175781,34.373390197753906,59.047359466552734,56.29758071899414,85.88825988769531,17.6932315826416,female,156.0,70.5
-c_G-UGrzClrDaGeYF9dAts4LHTS7ucdaBFDpn_sOE0,7283add526661fbd3198a4f6ae3bb86a,25.29034996032715,49.6096076965332,29.87209892272949,39.482872009277344,99.97396087646484,26.237478256225582,172.86705017089844,108.0689697265625,78.5002670288086,34.663333892822266,63.54736709594727,58.38501739501953,90.38313293457033,16.210710525512695,female,172.5,79.7
-c_G-UGrzClrDaGeYF9dAts4LHTS7ucdaBFDpn_sOE0,c86badd86983b50f3bdf6ae7358b1542,25.29034996032715,49.6096076965332,29.87209892272949,39.482872009277344,99.97396087646484,26.237478256225582,172.86705017089844,108.0689697265625,78.5002670288086,34.663333892822266,63.54736709594727,58.38501739501953,90.38313293457033,16.210710525512695,female,172.5,79.7
-f435rmMBWdNpQenjlVoMqciq2qSKrVkdrcdeBhFadA,a477b468b6c57e5f308cf3f223f4b790,22.53120422363281,49.2200927734375,26.90044212341309,35.371822357177734,94.22655487060548,22.571287155151367,166.5394287109375,102.5193099975586,77.68121337890625,33.05937957763672,59.38827133178711,53.33388137817383,82.11270904541016,14.188421249389648,female,164.5,64.7
-f435rmMBWdNpQenjlVoMqciq2qSKrVkdrcdeBhFadA,78e93894e0a1ab3fb4a0bba5d6f7fa2a,22.53120422363281,49.2200927734375,26.90044212341309,35.371822357177734,94.22655487060548,22.571287155151367,166.5394287109375,102.5193099975586,77.68121337890625,33.05937957763672,59.38827133178711,53.33388137817383,82.11270904541016,14.188421249389648,female,164.5,64.7
-gMnbkDTbXza9PMNAhyVL5xBmz4VZQU_7eNooMMvalk,fe422f124ddec8e6833f32af5708a0f2,25.126089096069336,53.44363784790039,27.75780868530273,37.10091400146485,93.89010620117188,25.06172752380371,181.02784729003903,98.17752838134766,84.92781829833984,33.03047561645508,64.01351928710938,53.059268951416016,81.50312042236328,16.282514572143555,female,182.0,69.9
